97,97,ключ для слова,ключ для языка,json,,! надо написать ф-цию проверки целостности jsona
слово,язык,word,lang,"{ ""word"": [ ""љубав"", ""sevgi"", ""dashuri"", ""ደረጃ"", ""to love"", ""الحب"", ""սիրել"", ""liefde"", ""maitasuna"", ""яратам"", ""кахаць"", ""লাভ"", ""မေတ္တာ"", ""обичам"", ""ljubav"", ""cariad"", ""szerelem"", ""tình yêu"", ""renmen"", ""amor"", ""яраташ"", ""αρέσει"", ""სიყვარული"", ""પ્રેમ"", ""elske"", ""uthando"", ""לאהוב"", ""ליבע"", ""cinta"", ""grá"", ""ást"", ""amar"", ""amare"", ""сүю"", ""ಪ್ರೀತಿ"", ""l'amor"", ""жек көрүү"", ""爱"", ""사랑"", ""uthando"", ""ក្ដីស្រឡាញ់"", ""ຄວາມຮັກ"", ""amo"", ""mīl"", ""mylėti"", ""gären"", ""љубов"", ""fitiavana"", ""cinta"", ""സ്നേഹം"", ""imħabba"", ""e pā ana"", ""प्रेम"", ""йӧраташ"", ""хайр"", ""lieben"", ""प्रेम"", ""liefde"", ""elske"", ""ਪਿਆਰ"", ""stima"", ""عشق"", ""kochać"", ""amar"", ""dragoste"", ""любить"", ""gugma"", ""љубав"", ""ආදරය"", ""láska"", ""ljubezen."", ""upendo"", ""cinta"", ""pag-ibig"", ""дӯст"", ""รัก"", ""காதல்"", ""ярату"", ""ప్రేమ"", ""sevmek"", ""яра"", ""sevgi uchun"", ""любити"", ""محبت"", ""rakkaus"", ""aimer"", ""प्यार"", ""ljubav"", ""milovat"", ""юрат"", ""älska"", ""💏"", ""amo"", ""armastama"", ""sayang"", ""таптаа"", ""愛"" ],""lang"": [ ""сербски"", ""азербайджански"", ""албански"", ""амхарски"", ""английски"", ""арабски"", ""армянски"", ""африкаански"", ""баскски"", ""башкирски"", ""белорусски"", ""бенгальски"", ""бирмански"", ""болгарски"", ""боснийски"", ""валлийски"", ""венгерски"", ""вьетнамски"", ""гаитянски"", ""галисийски"", ""горномарийски"", ""гречески"", ""грузински"", ""гуджаратиски"", ""датски"", ""зулуски"", ""ивритски (сорри)"", ""идишски"", ""индонезийски"", ""ирландски"", ""исландски"", ""испански"", ""итальянски"", ""казахски"", ""каннадски"", ""каталански"", ""киргизски"", ""китайски"", ""корейски"", ""косски?"", ""кхмерски"", ""лаосски"", ""латински"", ""латышски"", ""литовски"", ""люксембургски"", ""македонски"", ""малагасийски"", ""малайски"", ""малаяламски"", ""мальтийски"", ""маорийски"", ""маратхиски"", ""марийски"", ""монгольски"", ""немецки"", ""непальски"", ""нидерлански"", ""норвежски"", ""панджабски"", ""папьяментски"", ""персидски"", ""польски"", ""португальски"", ""румынски"", ""русски"", ""себуански"", ""сербски"", ""сингальски"", ""словацки"", ""словенски"", ""суахильски"", ""судански"", ""тагальски"", ""таджикски"", ""тайски"", ""тамильски"", ""татарски"", ""телугуски"", ""турецки"", ""удмуртски"", ""узбекски"", ""украински"", ""урдски"", ""фински"", ""французски"", ""хинди (-ски)"", ""хорватски"", ""чешски"", ""чувашски"", ""шведски"", ""эмодзиски"", ""эсперантски"", ""эстонски"", ""явански"", ""якутски"", ""японски"" ] }","{ ""title"": ""test_json"", ""type"": ""object"", ""description"": ""Свед** 4.01 Сведения об"", ""properties"": { ""words"": { ""type"": ""object"", ""properties"": { ""words_count"": { ""type"": ""integer"" }, ""words_values"": { ""type"": ""array"", ""items"": { ""type"": ""string"" } } } }, ""langs"": { ""type"": ""object"", ""properties"": { ""langs_count"": { ""type"": ""integer"" }, ""lang_values"": { ""type"": ""array"", ""items"": { ""type"": ""string"" } } } } } }",шаг1 распарсить все значения всех ключей
љубав,сербски,"""љубав"", ""sevgi"", ""dashuri"", ""ደረጃ"", ""to love"", ""الحب"", ""սիրել"", ""liefde"", ""maitasuna"", ""яратам"", ""кахаць"", ""লাভ"", ""မေတ္တာ"", ""обичам"", ""ljubav"", ""cariad"", ""szerelem"", ""tình yêu"", ""renmen"", ""amor"", ""яраташ"", ""αρέσει"", ""სიყვარული"", ""પ્રેમ"", ""elske"", ""uthando"", ""לאהוב"", ""ליבע"", ""cinta"", ""grá"", ""ást"", ""amar"", ""amare"", ""сүю"", ""ಪ್ರೀತಿ"", ""l'amor"", ""жек көрүү"", ""爱"", ""사랑"", ""uthando"", ""ក្ដីស្រឡាញ់"", ""ຄວາມຮັກ"", ""amo"", ""mīl"", ""mylėti"", ""gären"", ""љубов"", ""fitiavana"", ""cinta"", ""സ്നേഹം"", ""imħabba"", ""e pā ana"", ""प्रेम"", ""йӧраташ"", ""хайр"", ""lieben"", ""प्रेम"", ""liefde"", ""elske"", ""ਪਿਆਰ"", ""stima"", ""عشق"", ""kochać"", ""amar"", ""dragoste"", ""любить"", ""gugma"", ""љубав"", ""ආදරය"", ""láska"", ""ljubezen."", ""upendo"", ""cinta"", ""pag-ibig"", ""дӯст"", ""รัก"", ""காதல்"", ""ярату"", ""ప్రేమ"", ""sevmek"", ""яра"", ""sevgi uchun"", ""любити"", ""محبت"", ""rakkaus"", ""aimer"", ""प्यार"", ""ljubav"", ""milovat"", ""юрат"", ""älska"", ""💏"", ""amo"", ""armastama"", ""sayang"", ""таптаа"", ""愛""","""сербски"", ""азербайджански"", ""албански"", ""амхарски"", ""английски"", ""арабски"", ""армянски"", ""африкаански"", ""баскски"", ""башкирски"", ""белорусски"", ""бенгальски"", ""бирмански"", ""болгарски"", ""боснийски"", ""валлийски"", ""венгерски"", ""вьетнамски"", ""гаитянски"", ""галисийски"", ""горномарийски"", ""гречески"", ""грузински"", ""гуджаратиски"", ""датски"", ""зулуски"", ""ивритски (сорри)"", ""идишски"", ""индонезийски"", ""ирландски"", ""исландски"", ""испански"", ""итальянски"", ""казахски"", ""каннадски"", ""каталански"", ""киргизски"", ""китайски"", ""корейски"", ""косски?"", ""кхмерски"", ""лаосски"", ""латински"", ""латышски"", ""литовски"", ""люксембургски"", ""македонски"", ""малагасийски"", ""малайски"", ""малаяламски"", ""мальтийски"", ""маорийски"", ""маратхиски"", ""марийски"", ""монгольски"", ""немецки"", ""непальски"", ""нидерлански"", ""норвежски"", ""панджабски"", ""папьяментски"", ""персидски"", ""польски"", ""португальски"", ""румынски"", ""русски"", ""себуански"", ""сербски"", ""сингальски"", ""словацки"", ""словенски"", ""суахильски"", ""судански"", ""тагальски"", ""таджикски"", ""тайски"", ""тамильски"", ""татарски"", ""телугуски"", ""турецки"", ""удмуртски"", ""узбекски"", ""украински"", ""урдски"", ""фински"", ""французски"", ""хинди (-ски)"", ""хорватски"", ""чешски"", ""чувашски"", ""шведски"", ""эмодзиски"", ""эсперантски"", ""эстонски"", ""явански"", ""якутски"", ""японски""",,,шаг2 посчитать кол-во значений каждого ключа
sevgi,азербайджански,5,,,,"шаг3 если они не равны, показать ошибку"
dashuri,албански,7,,,,
ደረጃ,амхарски,3,,,,
to love,английски,7,,,,
الحب,арабски,4,,,,
սիրել,армянски,5,,,,
liefde,африкаански,6,,,,
maitasuna,баскски,9,,,,
яратам,башкирски,6,,,,
кахаць,белорусски,6,,,,
লাভ,бенгальски,3,,љубав sevgi dashuri ደረጃ to love الحب սիրել liefde maitasuna яратам кахаць লাভ မေတ္တာ обичам ljubav cariad szerelem tình yêu renmen amor яраташ αρέσει სიყვარული પ્રેમ elske uthando לאהוב ליבע cinta grá ást amar amare сүю ಪ್ರೀತಿ l'amor жек көрүү 爱 사랑 uthando ក្ដីស្រឡាញ់ ຄວາມຮັກ amo mīl mylėti gären љубов fitiavana cinta സ്നേഹം imħabba e pā ana प्रेम йӧраташ хайр lieben प्रेम liefde elske ਪਿਆਰ stima عشق kochać amar dragoste любить gugma љубав ආදරය láska ljubezen. upendo cinta pag-ibig дӯст รัก காதல் ярату ప్రేమ sevmek яра sevgi uchun любити محبت rakkaus aimer प्यार ljubav milovat юрат älska 💏 amo armastama sayang таптаа 愛,,
မေတ္တာ,бирмански,6,,,,
обичам,болгарски,6,,љубав sevgi dashuri ደረጃ to love الحب սիրել liefde maitasuna яратам кахаць লাভ မေတ္တာ обичам ljubav cariad szerelem tình yêu renmen amor яраташ αρέσει სიყვარული પ્રેમ elske uthando לאהוב ליבע cinta grá ást amar amare сүю ಪ್ರೀತಿ l'amor жек көрүү 爱 사랑 uthando ក្ដីស្រឡាញ់ ຄວາມຮັກ amo mīl mylėti gären љубов fitiavana cinta സ്നേഹം imħabba e pā ana प्रेम йӧраташ хайр lieben प्रेम liefde elske ਪਿਆਰ stima عشق kochać amar dragoste любить gugma љубав ආදරය láska ljubezen. upendo cinta pag-ibig дӯст รัก காதல் ярату ప్రేమ sevmek яра sevgi uchun любити محبت rakkaus aimer प्यार ljubav milovat юрат älska 💏 amo armastama sayang таптаа 愛,,
ljubav,боснийски,6,,,,
cariad,валлийски,6,,,,
szerelem,венгерски,8,,,,
tình yêu,вьетнамски,8,,,,
renmen,гаитянски,6,,,,
amor,галисийски,4,,,,
яраташ,горномарийски,6,,,,
αρέσει,гречески,6,,,,
სიყვარული,грузински,9,,,,
પ્રેમ,гуджаратиски,5,,,,
elske,датски,5,,,,
uthando,зулуски,7,,,,
לאהוב,ивритски (сорри),5,,,,
ליבע,идишски,4,,,,
cinta,индонезийски,5,,,,
grá,ирландски,3,,,,
ást,исландски,3,,,,
amar,испански,4,,,,
amare,итальянски,5,,,,
сүю,казахски,3,,,,
ಪ್ರೀತಿ,каннадски,6,,,,
l'amor,каталански,6,,,,
жек көрүү,киргизски,9,,,,
爱,китайски,1,,,,
사랑,корейски,2,,,,
uthando,косски?,7,,,,
ក្ដីស្រឡាញ់,кхмерски,11,,,,
ຄວາມຮັກ,лаосски,7,,,,
amo,латински,3,,,,
mīl,латышски,3,,,,
mylėti,литовски,6,,,,
gären,люксембургски,5,,,,
љубов,македонски,5,,,,
fitiavana,малагасийски,9,,,,
cinta,малайски,5,,,,
സ്നേഹം,малаяламски,6,,,,
imħabba,мальтийски,7,,,,
e pā ana,маорийски,8,,,,
प्रेम,маратхиски,5,,,,
йӧраташ,марийски,7,,,,
хайр,монгольски,4,,,,
lieben,немецки,6,,,,
प्रेम,непальски,5,,,,
liefde,нидерлански,6,,,,
elske,норвежски,5,,,,
ਪਿਆਰ,панджабски,4,,,,
stima,папьяментски,5,,,,
عشق,персидски,3,,,,
kochać,польски,6,,,,
amar,португальски,4,,,,
dragoste,румынски,8,,,,
любить,русски,6,,,,
gugma,себуански,5,,,,
љубав,сербски,5,,,,
ආදරය,сингальски,4,,,,
láska,словацки,5,,,,
ljubezen.,словенски,9,,,,
upendo,суахильски,6,,,,
cinta,судански,5,,,,
pag-ibig,тагальски,8,,,,
дӯст,таджикски,4,,,,
รัก,тайски,3,,,,
காதல்,тамильски,5,,,,
ярату,татарски,5,,,,
ప్రేమ,телугуски,5,,,,
sevmek,турецки,6,,,,
яра,удмуртски,3,,,,
sevgi uchun,узбекски,11,,,,
любити,украински,6,,,,
محبت,урдски,4,,,,
rakkaus,фински,7,,,,
aimer,французски,5,,,,
प्यार,хинди (-ски),5,,,,
ljubav,хорватски,6,,,,
milovat,чешски,7,,,,
юрат,чувашски,4,,,,
älska,шведски,5,,,,
💏,эмодзиски,2,,,,
amo,эсперантски,3,,,,
armastama,эстонски,9,,,,
sayang,явански,6,,,,
таптаа,якутски,6,,,,
愛,японски,1,,,,
