117,макс кол-во симв. =15,,ключ для смайла,json,
смайл,кол-во символов,,smile,"{ ""smile"": [ ""(* ^ ω ^)"", ""(´ ∀ *)"", ""(o^▽^o)"", ""(⌒▽⌒)☆"", ""ヽ(・∀・)ﾉ"", ""(´｡• ω •｡)"", ""(o･ω･o)"", ""(＠＾◡＾)"", ""(^人^)"", ""(o´▽o)"", ""( ´ ω )"", ""(((o(*°▽°*)o)))"", ""(´• ω •)"", ""(＾▽＾)"", ""╰(▔∀▔)╯"", ""(─‿‿─)"", ""(✯◡✯)"", ""(◕‿◕)"", ""(⌒‿⌒)"", ""＼(≧▽≦)／"", ""(*°▽°*)"", ""٩(｡•́‿•̀｡)۶"", ""(´｡• ᵕ •｡)"", ""( ´ ▽ )"", ""ヽ(>∀<☆)ノ"", ""o(≧▽≦)o"", ""＼(￣▽￣)／"", ""(*¯︶¯*)"", ""(o˘◡˘o)"", ""\(★ω★)/"", ""(╯✧▽✧)╯"", ""o(>ω<)o"", ""( ‾́ ◡ ‾́ )"", ""(ﾉ´ヮ)ﾉ*: ･ﾟ"", ""(๑˘︶˘๑)"", ""( ˙꒳​˙ )"", ""(´･ᴗ･ )"", ""(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧"", ""(─‿‿─)♡"", ""(´｡• ᵕ •｡) ♡"", ""(´ ω ♡)"", ""♡( ◡‿◡ )"", ""(ღ˘⌣˘ღ)"", ""(♡°▽°♡)"", ""(´• ω •) ♡"", ""(´ ε )♡"", ""╰(*´︶*)╯♡"", ""(*˘︶˘*).｡.:*♡"", ""(≧◡≦) ♡"", ""(⌒▽⌒)♡"", ""♡ (˘▽˘>ԅ( ˘⌣˘)"", ""( ˘⌣˘)♡(˘⌣˘ )"", ""σ(≧ε≦σ) ♡"", ""♡ (⇀ 3 ↼)"", ""(˘∀˘)/(μ‿μ) ❤"", ""❤ (ɔˆз(ˆ⌣ˆc)"", ""(￣▽￣)ノ"", ""(*・ω・)ﾉ"", ""(°▽°)/"", ""( ´ ∀ )ﾉ"", ""(^-^*)/"", ""(＠´ー)ﾉﾞ"", ""(´• ω •)ﾉ"", ""( ° ∀ ° )ﾉﾞ"", ""∪＾ェ＾∪"", ""∪･ω･∪"", ""∪￣-￣∪"", ""∪･ｪ･∪"", ""Ｕ^皿^Ｕ"", ""ＵＴｪＴＵ"", ""U^ｪ^U"", ""V●ᴥ●V"", ""∪◣_◢∪"", ""(▽◕ ᴥ ◕▽)"", ""(☆ω☆)"", ""٩(◕‿◕)۶"", ""(´ω｀)"", ""(´｡• ᵕ •｡)"", ""(´ ▽) (￣▽￣)"", ""(⌒ω⌒)"", ""ヽ(・ω・)ﾉ"", ""(≧ω≦)"", ""＼(≧▽≦)／"", ""╰(▔∀▔)╯"", ""(¯︶¯)"", ""(＾▽＾)"", ""(✯◡✯)"", ""＼(＾▽＾)／"", ""(◕‿◕)"", ""｡ﾟ(ﾟ^∀^ﾟ)ﾟ｡"", ""ヽ(>∀<☆)ノ"", ""(´▽*)"", ""⌒(o＾▽＾o)ノ"", ""(o´▽o)"", ""＼(￣▽￣)／"", ""ヽ(⌒▽⌒)ﾉ"", ""∑d (ﾟ∀ﾟd) o"", ""(≧▽≦)o"", ""(ﾟ▽ﾟ)"", ""(≧◡≦)"", ""(⌒‿⌒)"", ""(＠＾－＾)"", ""(っ˘ω˘ς)"", ""<(￣︶￣)>"", ""(⌒―⌒)"", ""(-‿‿-)"", ""ヽ(・∀・)ﾉ"", ""(´｡• ω •｡)"", ""ヽ(o^―^o)ﾉ"", ""(o˘◡˘o)"", ""(─‿‿─)"", ""(*^‿^*)"", ""(o^▽^o)"", ""╰(*´︶)╯"", ""(((o (ﾟ▽ﾟ*)o)))"", ""(^人^)"", ""(⌒▽⌒)☆"" ] }",
(* ^ ω ^),9,,"""(* ^ ω ^)"", ""(´ ∀ *)"", ""(o^▽^o)"", ""(⌒▽⌒)☆"", ""ヽ(・∀・)ﾉ"", ""(´｡• ω •｡)"", ""(o･ω･o)"", ""(＠＾◡＾)"", ""(^人^)"", ""(o´▽o)"", ""( ´ ω )"", ""(((o(*°▽°*)o)))"", ""(´• ω •)"", ""(＾▽＾)"", ""╰(▔∀▔)╯"", ""(─‿‿─)"", ""(✯◡✯)"", ""(◕‿◕)"", ""(⌒‿⌒)"", ""＼(≧▽≦)／"", ""(*°▽°*)"", ""٩(｡•́‿•̀｡)۶"", ""(´｡• ᵕ •｡)"", ""( ´ ▽ )"", ""ヽ(>∀<☆)ノ"", ""o(≧▽≦)o"", ""＼(￣▽￣)／"", ""(*¯︶¯*)"", ""(o˘◡˘o)"", ""\(★ω★)/"", ""(╯✧▽✧)╯"", ""o(>ω<)o"", ""( ‾́ ◡ ‾́ )"", ""(ﾉ´ヮ)ﾉ*: ･ﾟ"", ""(๑˘︶˘๑)"", ""( ˙꒳​˙ )"", ""(´･ᴗ･ )"", ""(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧"", ""(─‿‿─)♡"", ""(´｡• ᵕ •｡) ♡"", ""(´ ω ♡)"", ""♡( ◡‿◡ )"", ""(ღ˘⌣˘ღ)"", ""(♡°▽°♡)"", ""(´• ω •) ♡"", ""(´ ε )♡"", ""╰(*´︶*)╯♡"", ""(*˘︶˘*).｡.:*♡"", ""(≧◡≦) ♡"", ""(⌒▽⌒)♡"", ""♡ (˘▽˘>ԅ( ˘⌣˘)"", ""( ˘⌣˘)♡(˘⌣˘ )"", ""σ(≧ε≦σ) ♡"", ""♡ (⇀ 3 ↼)"", ""(˘∀˘)/(μ‿μ) ❤"", ""❤ (ɔˆз(ˆ⌣ˆc)"", ""(￣▽￣)ノ"", ""(*・ω・)ﾉ"", ""(°▽°)/"", ""( ´ ∀ )ﾉ"", ""(^-^*)/"", ""(＠´ー)ﾉﾞ"", ""(´• ω •)ﾉ"", ""( ° ∀ ° )ﾉﾞ"", ""∪＾ェ＾∪"", ""∪･ω･∪"", ""∪￣-￣∪"", ""∪･ｪ･∪"", ""Ｕ^皿^Ｕ"", ""ＵＴｪＴＵ"", ""U^ｪ^U"", ""V●ᴥ●V"", ""∪◣_◢∪"", ""(▽◕ ᴥ ◕▽)"", ""(☆ω☆)"", ""٩(◕‿◕)۶"", ""(´ω｀)"", ""(´｡• ᵕ •｡)"", ""(´ ▽) (￣▽￣)"", ""(⌒ω⌒)"", ""ヽ(・ω・)ﾉ"", ""(≧ω≦)"", ""＼(≧▽≦)／"", ""╰(▔∀▔)╯"", ""(¯︶¯)"", ""(＾▽＾)"", ""(✯◡✯)"", ""＼(＾▽＾)／"", ""(◕‿◕)"", ""｡ﾟ(ﾟ^∀^ﾟ)ﾟ｡"", ""ヽ(>∀<☆)ノ"", ""(´▽*)"", ""⌒(o＾▽＾o)ノ"", ""(o´▽o)"", ""＼(￣▽￣)／"", ""ヽ(⌒▽⌒)ﾉ"", ""∑d (ﾟ∀ﾟd) o"", ""(≧▽≦)o"", ""(ﾟ▽ﾟ)"", ""(≧◡≦)"", ""(⌒‿⌒)"", ""(＠＾－＾)"", ""(っ˘ω˘ς)"", ""<(￣︶￣)>"", ""(⌒―⌒)"", ""(-‿‿-)"", ""ヽ(・∀・)ﾉ"", ""(´｡• ω •｡)"", ""ヽ(o^―^o)ﾉ"", ""(o˘◡˘o)"", ""(─‿‿─)"", ""(*^‿^*)"", ""(o^▽^o)"", ""╰(*´︶)╯"", ""(((o (ﾟ▽ﾟ*)o)))"", ""(^人^)"", ""(⌒▽⌒)☆""",,
(´ ∀ *),7,,,,
(o^▽^o),7,,,,
(⌒▽⌒)☆,6,,,,
ヽ(・∀・)ﾉ,7,,,,
(´｡• ω •｡),10,,,,
(o･ω･o),7,,,,
(＠＾◡＾),6,,,,
(^人^),5,,,,
